seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
91	-69.5786	297.304	-228.072	0	-69.2323	296.659	-228.072	0	
92	-90.797	304.328	-208.185	0	-96.1435	301.428	-208.185	0	
93	-125.645	308.901	-186.621	0	-122.281	308.256	-186.621	0	
94	-147.066	310.988	-163.554	0	-147.433	313.601	-163.554	0	
95	-175.981	310.57	-139.171	0	-171.399	312.378	-139.171	0	
96	-191.569	307.652	-113.667	0	-193.984	305.844	-113.667	0	
97	-219.018	302.257	-87.2485	0	-215.008	299.644	-87.2485	0	
98	-231.623	294.428	-60.1271	0	-234.301	295.073	-60.1271	0	
99	-246.284	284.229	-32.5216	0	-251.707	287.129	-32.5216	0	
100	-265.774	271.741	-4.65428	0	-267.087	272.386	-4.65428	0	
101	-280.537	257.065	23.2505	0	-280.316	254.452	23.2505	0	
102	-292.284	240.32	50.9682	0	-291.288	238.512	50.9682	0	
103	-298.765	221.639	78.2754	0	-299.915	223.448	78.2754	0	
104	-309.48	201.175	104.952	0	-306.127	203.787	104.952	0	
105	-308.302	179.09	130.784	0	-309.874	178.445	130.784	0	
106	-307.827	155.563	155.563	0	-311.127	152.663	155.563	0	
107	-308.302	130.784	179.09	0	-309.874	130.139	179.09	0	
108	-309.48	104.952	201.175	0	-306.127	107.565	201.175	0	
109	-298.765	78.2754	221.639	0	-299.915	80.0835	221.639	0	
110	-292.284	50.9682	240.32	0	-291.288	49.1601	240.32	0	
111	-280.537	23.2505	257.065	0	-280.316	20.6377	257.065	0	
112	-265.774	-4.65428	271.741	0	-267.087	-4.00896	271.741	0	
113	-246.284	-32.5216	284.229	0	-251.707	-29.6216	284.229	0	
114	-231.623	-60.1271	294.428	0	-234.301	-59.4818	294.428	0	
115	-219.018	-87.2485	302.257	0	-215.008	-89.8613	302.257	0	
116	-191.569	-113.667	307.652	0	-193.984	-115.476	307.652	0	
117	-175.981	-139.171	310.57	0	-171.399	-137.363	310.57	0	
118	-147.066	-163.554	310.988	0	-147.433	-160.942	310.988	0	
119	-125.645	-186.621	308.901	0	-122.281	-187.266	308.901	0	
120	-90.797	-208.185	304.328	0	-96.1435	-211.085	304.328	0	
121	-69.5786	-228.072	297.304	0	-69.2323	-228.718	297.304	0	
122	-46.0544	-246.124	287.887	0	-41.7636	-243.511	287.887	0	
123	-11.1562	-262.193	276.152	0	-13.9587	-260.385	276.152	0	
124	9.01148	-276.152	262.193	0	13.9587	-277.96	262.193	0	
125	45.3607	-287.887	246.124	0	41.7636	-290.5	246.124	0	
126	64.8552	-297.304	228.072	0	69.2323	-296.659	228.072	0	
127	104.921	-304.328	208.185	0	96.1435	-301.428	208.185	0	
128	119.553	-308.901	186.621	0	122.281	-308.256	186.621	0	
129	143.859	-310.988	163.554	0	147.433	-313.601	163.554	0	
130	170.593	-310.57	139.171	0	171.399	-312.378	139.171	0	
131	186.002	-307.652	113.667	0	193.984	-305.844	113.667	0	
132	215.337	-302.257	87.2485	0	215.008	-299.644	87.2485	0	
133	224.939	-294.428	60.1271	0	234.301	-295.073	60.1271	0	
134	259.96	-284.229	32.5216	0	251.707	-287.129	32.5216	0	
135	261.062	-271.741	4.65428	0	267.087	-272.386	4.65428	0	
136	280.627	-257.065	-23.2505	0	280.316	-254.452	-23.2505	0	
137	291.957	-240.32	-50.9682	0	291.288	-238.512	-50.9682	0	
138	299.643	-221.639	-78.2754	0	299.915	-223.448	-78.2754	0	
139	313.052	-201.175	-104.952	0	306.127	-203.787	-104.952	0	
140	308.979	-179.09	-130.784	0	309.874	-178.445	-130.784	0	
141	328.227	-155.563	-155.563	0	311.127	-152.663	-155.563	0	
142	308.979	-130.784	-179.09	0	309.874	-130.139	-179.09	0	
143	313.052	-104.952	-201.175	0	306.127	-107.565	-201.175	0	
144	299.643	-78.2754	-221.639	0	299.915	-80.0835	-221.639	0	
145	291.957	-50.9682	-240.32	0	291.288	-49.1601	-240.32	0	
146	280.627	-23.2505	-257.065	0	280.316	-20.6377	-257.065	0	
147	261.062	4.65428	-271.741	0	267.087	4.00896	-271.741	0	
148	259.96	32.5216	-284.229	0	251.707	29.6216	-284.229	0	
