seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
91	-70.1763	304.061	-225.999	0	-69.2323	297.304	-228.072	0	
92	-97.4546	311.245	-206.292	0	-96.1435	304.328	-208.185	0	
93	-123.948	315.922	-184.924	0	-122.281	308.901	-186.621	0	
94	-149.444	318.056	-162.068	0	-147.433	310.988	-163.554	0	
95	-173.736	317.629	-137.906	0	-171.399	310.57	-139.171	0	
96	-196.63	314.644	-112.634	0	-193.984	307.652	-113.667	0	
97	-217.94	309.126	-86.4554	0	-215.008	302.257	-87.2485	0	
98	-237.496	301.12	-59.5805	0	-234.301	294.428	-60.1271	0	
99	-255.139	290.688	-32.226	0	-251.707	284.229	-32.5216	0	
100	-270.729	277.917	-4.61196	0	-267.087	271.741	-4.65428	0	
101	-284.138	262.908	23.0392	0	-280.316	257.065	23.2505	0	
102	-295.26	245.782	50.5048	0	-291.288	240.32	50.9682	0	
103	-304.005	226.677	77.5638	0	-299.915	221.639	78.2754	0	
104	-310.302	205.747	103.998	0	-306.127	201.175	104.952	0	
105	-314.1	183.16	129.596	0	-309.874	179.09	130.784	0	
106	-315.37	159.099	154.149	0	-311.127	155.563	155.563	0	
107	-314.1	133.757	177.462	0	-309.874	130.784	179.09	0	
108	-310.302	107.338	199.346	0	-306.127	104.952	201.175	0	
109	-304.005	80.0544	219.625	0	-299.915	78.2754	221.639	0	
110	-295.26	52.1265	238.135	0	-291.288	50.9682	240.32	0	
111	-284.138	23.779	254.728	0	-280.316	23.2505	257.065	0	
112	-270.729	-4.76005	269.27	0	-267.087	-4.65428	271.741	0	
113	-255.139	-33.2608	281.645	0	-251.707	-32.5216	284.229	0	
114	-237.496	-61.4937	291.751	0	-234.301	-60.1271	294.428	0	
115	-217.94	-89.2315	299.509	0	-215.008	-87.2485	302.257	0	
116	-196.63	-116.251	304.855	0	-193.984	-113.667	307.652	0	
117	-173.736	-142.334	307.747	0	-171.399	-139.171	310.57	0	
118	-149.444	-167.272	308.161	0	-147.433	-163.554	310.988	0	
119	-123.948	-190.862	306.093	0	-122.281	-186.621	308.901	0	
120	-97.4546	-212.916	301.561	0	-96.1435	-208.185	304.328	0	
121	-70.1763	-233.256	294.602	0	-69.2323	-228.072	297.304	0	
122	-42.3331	-251.717	285.27	0	-41.7636	-246.124	287.887	0	
123	-14.149	-268.152	273.641	0	-13.9587	-262.193	276.152	0	
124	14.149	-282.428	259.81	0	13.9587	-276.152	262.193	0	
125	42.3331	-294.43	243.886	0	41.7636	-287.887	246.124	0	
126	70.1763	-304.061	225.999	0	69.2323	-297.304	228.072	0	
127	97.4546	-311.245	206.292	0	96.1435	-304.328	208.185	0	
128	123.948	-315.922	184.924	0	122.281	-308.901	186.621	0	
129	149.444	-318.056	162.068	0	147.433	-310.988	163.554	0	
130	173.736	-317.629	137.906	0	171.399	-310.57	139.171	0	
131	196.63	-314.644	112.634	0	193.984	-307.652	113.667	0	
132	217.94	-309.126	86.4554	0	215.008	-302.257	87.2485	0	
133	237.496	-301.12	59.5805	0	234.301	-294.428	60.1271	0	
134	255.139	-290.688	32.226	0	251.707	-284.229	32.5216	0	
135	270.729	-277.917	4.61196	0	267.087	-271.741	4.65428	0	
136	284.138	-262.908	-23.0392	0	280.316	-257.065	-23.2505	0	
137	295.26	-245.782	-50.5048	0	291.288	-240.32	-50.9682	0	
138	304.005	-226.677	-77.5638	0	299.915	-221.639	-78.2754	0	
139	310.302	-205.747	-103.998	0	306.127	-201.175	-104.952	0	
140	314.1	-183.16	-129.596	0	309.874	-179.09	-130.784	0	
141	315.37	-159.099	-154.149	0	311.127	-155.563	-155.563	0	
142	314.1	-133.757	-177.462	0	309.874	-130.784	-179.09	0	
143	310.302	-107.338	-199.346	0	306.127	-104.952	-201.175	0	
144	304.005	-80.0544	-219.625	0	299.915	-78.2754	-221.639	0	
145	295.26	-52.1265	-238.135	0	291.288	-50.9682	-240.32	0	
146	284.138	-23.779	-254.728	0	280.316	-23.2505	-257.065	0	
147	270.729	4.76005	-269.27	0	267.087	4.65428	-271.741	0	
148	255.139	33.2608	-281.645	0	251.707	32.5216	-284.229	0	
149	237.496	61.4937	-291.751	0	234.301	60.1271	-294.428	0	
150	217.94	89.2315	-299.509	0	215.008	87.2485	-302.257	0	
151	196.63	116.251	-304.855	0	193.984	113.667	-307.652	0	
152	173.736	142.334	-307.747	0	171.399	139.171	-310.57	0	
