seq:	Ia	Ib	Ic	In	Va	Vb	Vc	Vn
153	149.444	167.272	-308.161	0	147.433	163.554	-310.988	0	
154	123.948	190.862	-306.093	0	122.281	186.621	-308.901	0	
155	97.4546	212.916	-301.561	0	96.1435	208.185	-304.328	0	
156	70.1763	233.256	-294.602	0	69.2323	228.072	-297.304	0	
157	42.3331	251.717	-285.27	0	41.7636	246.124	-287.887	0	
158	14.149	268.152	-273.641	0	13.9587	262.193	-276.152	0	
159	-14.149	282.428	-259.81	0	-13.9587	276.152	-262.193	0	
160	-42.3331	294.43	-243.886	0	-41.7636	287.887	-246.124	0	
161	-70.1763	304.061	-225.999	0	-69.2323	297.304	-228.072	0	
162	-97.4546	311.245	-206.292	0	-96.1435	304.328	-208.185	0	
163	-123.948	315.922	-184.924	0	-122.281	308.901	-186.621	0	
164	-149.444	318.056	-162.068	0	-147.433	310.988	-163.554	0	
165	-173.736	317.629	-137.906	0	-171.399	310.57	-139.171	0	
166	-196.63	314.644	-112.634	0	-193.984	307.652	-113.667	0	
167	-217.94	309.126	-86.4554	0	-215.008	302.257	-87.2485	0	
168	-237.496	301.12	-59.5805	0	-234.301	294.428	-60.1271	0	
169	-255.139	290.688	-32.226	0	-251.707	284.229	-32.5216	0	
170	-270.729	277.917	-4.61196	0	-267.087	271.741	-4.65428	0	
171	-284.138	262.908	23.0392	0	-280.316	257.065	23.2505	0	
172	-295.26	245.782	50.5048	0	-291.288	240.32	50.9682	0	
173	-304.005	226.677	77.5638	0	-299.915	221.639	78.2754	0	
174	-310.302	205.747	103.998	0	-306.127	201.175	104.952	0	
175	-314.1	183.16	129.596	0	-309.874	179.09	130.784	0	
176	-315.37	159.099	154.149	0	-311.127	155.563	155.563	0	
177	-314.1	133.757	177.462	0	-309.874	130.784	179.09	0	
178	-310.302	107.338	199.346	0	-306.127	104.952	201.175	0	
179	-304.005	80.0544	219.625	0	-299.915	78.2754	221.639	0	
180	-295.26	52.1265	238.135	0	-291.288	50.9682	240.32	0	
181	-284.138	23.779	254.728	0	-280.316	23.2505	257.065	0	
182	-270.729	-4.76005	269.27	0	-267.087	-4.65428	271.741	0	
183	-255.139	-33.2608	281.645	0	-251.707	-32.5216	284.229	0	
184	-237.496	-61.4937	291.751	0	-234.301	-60.1271	294.428	0	
185	-217.94	-89.2315	299.509	0	-215.008	-87.2485	302.257	0	
186	-196.63	-116.251	304.855	0	-193.984	-113.667	307.652	0	
187	-173.736	-142.334	307.747	0	-171.399	-139.171	310.57	0	
188	-149.444	-167.272	308.161	0	-147.433	-163.554	310.988	0	
189	-123.948	-190.862	306.093	0	-122.281	-186.621	308.901	0	
190	-97.4546	-212.916	301.561	0	-96.1435	-208.185	304.328	0	
191	-70.1763	-233.256	294.602	0	-69.2323	-228.072	297.304	0	
192	-42.3331	-251.717	285.27	0	-41.7636	-246.124	287.887	0	
193	-14.149	-268.152	273.641	0	-13.9587	-262.193	276.152	0	
194	14.149	-282.428	259.81	0	13.9587	-276.152	262.193	0	
195	42.3331	-294.43	243.886	0	41.7636	-287.887	246.124	0	
196	70.1763	-304.061	225.999	0	69.2323	-297.304	228.072	0	
197	97.4546	-311.245	206.292	0	96.1435	-304.328	208.185	0	
198	123.948	-315.922	184.924	0	122.281	-308.901	186.621	0	
199	149.444	-318.056	162.068	0	147.433	-310.988	163.554	0	
200	173.736	-317.629	137.906	0	171.399	-310.57	139.171	0	
201	196.63	-314.644	112.634	0	193.984	-307.652	113.667	0	
202	217.94	-309.126	86.4554	0	215.008	-302.257	87.2485	0	
203	237.496	-301.12	59.5805	0	234.301	-294.428	60.1271	0	
204	255.139	-290.688	32.226	0	251.707	-284.229	32.5216	0	
205	270.729	-277.917	4.61196	0	267.087	-271.741	4.65428	0	
206	284.138	-262.908	-23.0392	0	280.316	-257.065	-23.2505	0	
207	295.26	-245.782	-50.5048	0	291.288	-240.32	-50.9682	0	
208	304.005	-226.677	-77.5638	0	299.915	-221.639	-78.2754	0	
209	310.302	-205.747	-103.998	0	306.127	-201.175	-104.952	0	
210	314.1	-183.16	-129.596	0	309.874	-179.09	-130.784	0	
211	315.37	-159.099	-154.149	0	311.127	-155.563	-155.563	0	
212	314.1	-133.757	-177.462	0	309.874	-130.784	-179.09	0	
213	310.302	-107.338	-199.346	0	306.127	-104.952	-201.175	0	
214	304.005	-80.0544	-219.625	0	299.915	-78.2754	-221.639	0	
215	295.26	-52.1265	-238.135	0	291.288	-50.9682	-240.32	0	
216	284.138	-23.779	-254.728	0	280.316	-23.2505	-257.065	0	
217	270.729	4.76005	-269.27	0	267.087	4.65428	-271.741	0	
218	255.139	33.2608	-281.645	0	251.707	32.5216	-284.229	0	
219	237.496	61.4937	-291.751	0	234.301	60.1271	-294.428	0	
220	217.94	89.2315	-299.509	0	215.008	87.2485	-302.257	0	
221	196.63	116.251	-304.855	0	193.984	113.667	-307.652	0	
222	173.736	142.334	-307.747	0	171.399	139.171	-310.57	0	
223	149.444	167.272	-308.161	0	147.433	163.554	-310.988	0	
224	123.948	190.862	-306.093	0	122.281	186.621	-308.901	0	
225	97.4546	212.916	-301.561	0	96.1435	208.185	-304.328	0	
226	70.1763	233.256	-294.602	0	69.2323	228.072	-297.304	0	
227	42.3331	251.717	-285.27	0	41.7636	246.124	-287.887	0	
228	14.149	268.152	-273.641	0	13.9587	262.193	-276.152	0	
229	-14.149	282.428	-259.81	0	-13.9587	276.152	-262.193	0	
230	-42.3331	294.43	-243.886	0	-41.7636	287.887	-246.124	0	
231	-70.1763	304.061	-225.999	0	-69.2323	297.304	-228.072	0	
232	-97.4546	311.245	-206.292	0	-96.1435	304.328	-208.185	0	
233	-123.948	315.922	-184.924	0	-122.281	308.901	-186.621	0	
234	-149.444	318.056	-162.068	0	-147.433	310.988	-163.554	0	
235	-173.736	317.629	-137.906	0	-171.399	310.57	-139.171	0	
236	-196.63	314.644	-112.634	0	-193.984	307.652	-113.667	0	
237	-217.94	309.126	-86.4554	0	-215.008	302.257	-87.2485	0	
238	-237.496	301.12	-59.5805	0	-234.301	294.428	-60.1271	0	
239	-255.139	290.688	-32.226	0	-251.707	284.229	-32.5216	0	
240	-270.729	277.917	-4.61196	0	-267.087	271.741	-4.65428	0	
241	-284.138	262.908	23.0392	0	-280.316	257.065	23.2505	0	
242	-295.26	245.782	50.5048	0	-291.288	240.32	50.9682	0	
243	-304.005	226.677	77.5638	0	-299.915	221.639	78.2754	0	
244	-310.302	205.747	103.998	0	-306.127	201.175	104.952	0	
245	-314.1	183.16	129.596	0	-309.874	179.09	130.784	0	
246	-315.37	159.099	154.149	0	-311.127	155.563	155.563	0	
247	-314.1	133.757	177.462	0	-309.874	130.784	179.09	0	
248	-310.302	107.338	199.346	0	-306.127	104.952	201.175	0	
249	-304.005	80.0544	219.625	0	-299.915	78.2754	221.639	0	
250	-295.26	52.1265	238.135	0	-291.288	50.9682	240.32	0	
251	-284.138	23.779	254.728	0	-280.316	23.2505	257.065	0	
252	-270.729	-4.76005	269.27	0	-267.087	-4.65428	271.741	0	
253	-255.139	-33.2608	281.645	0	-251.707	-32.5216	284.229	0	
254	-237.496	-61.4937	291.751	0	-234.301	-60.1271	294.428	0	
